"key";"ru";"hy-AM"
"accountSettings.activated";"Активировано";"Միացված է"
"accountSettings.address";"Адрес";"Հասցե"
"accountSettings.addressInfo";"Адресная информация";"Հասցեի տեղեկություն"
"accountSettings.addressPlaceholder";"Адрес";"Հասցե"
"accountSettings.addressRequired";"Адрес обязателен";"Հասցեն պարտադիր է"
"accountSettings.avatarRemoveFailed";"Не удалось удалить аватар";"Ավատարը հեռացնելը ձախողվեց"
"accountSettings.avatarRemovedSuccessfully";"Аватар успешно удален";"Ավատարը հեռացվել է"
"accountSettings.avatarUploadFailed";"Не удалось загрузить аватар";"Ավատարի վերբեռնումը ձախողվեց"
"accountSettings.avatarUploadedSuccessfully";"Аватар успешно загружен";"Ավատարը հաջողությամբ վերբեռնվել է"
"accountSettings.city";"Город";"Քաղաք"
"accountSettings.cityPlaceholder";"Город";"Քաղաք"
"accountSettings.cityRequired";"Город обязателен";"Քաղաքը պարտադիր է"
"accountSettings.confirmNewPassword";"Подтвердите новый пароль";"Հաստատել նոր գաղտնաբառը"
"accountSettings.confirmNewPasswordPlaceholder";"•••••••••";"•••••••••"
"accountSettings.confirmNewPasswordRequired";"Подтвердите новый пароль!";"Կրկին մուտքագրեք նոր գաղտնաբառը։"
"accountSettings.country";"Страна";"Երկիր"
"accountSettings.countryRequired";"Выберите страну";"Ընտրեք երկիրը"
"accountSettings.currentPassword";"Текущий пароль";"Ընթացիկ գաղտնաբառ"
"accountSettings.currentPasswordPlaceholder";"•••••••••";"•••••••••"
"accountSettings.currentPasswordRequired";"Введите текущий пароль!";"Մուտքագրեք ընթացիկ գաղտնաբառը։"
"accountSettings.email";"Email";"Էլ․ փոստ"
"accountSettings.emailInvalid";"Неверный email";"Անվավեր էլ․ փոստ"
"accountSettings.emailPlaceholder";"Email";"Էլ․ փոստ"
"accountSettings.emailRequired";"Email обязателен";"Էլ․ փոստը պարտադիր է"
"accountSettings.emailVerification";"Проверка по Email";"Էլ․ փոստով հաստատում"
