"key";"ru";"es-MX"
"accountSettings.activated";"Активировано";"Activada"
"accountSettings.address";"Адрес";"Dirección"
"accountSettings.addressInfo";"Адресная информация";"Dirección"
"accountSettings.addressPlaceholder";"Адрес";"Dirección"
"accountSettings.addressRequired";"Адрес обязателен";"La dirección es obligatoria"
"accountSettings.avatarRemoveFailed";"Не удалось удалить аватар";"No se pudo quitar la foto"
"accountSettings.avatarRemovedSuccessfully";"Аватар успешно удален";"Foto de perfil eliminada"
"accountSettings.avatarUploadFailed";"Не удалось загрузить аватар";"No se pudo subir la foto"
"accountSettings.avatarUploadedSuccessfully";"Аватар успешно загружен";"Foto de perfil actualizada"
"accountSettings.city";"Город";"Ciudad"
"accountSettings.cityPlaceholder";"Город";"Ciudad"
"accountSettings.cityRequired";"Город обязателен";"La ciudad es obligatoria"
"accountSettings.confirmNewPassword";"Подтвердите новый пароль";"Confirmar nueva contraseña"
"accountSettings.confirmNewPasswordPlaceholder";"•••••••••";"•••••••••"
"accountSettings.confirmNewPasswordRequired";"Подтвердите новый пароль!";"Confirma tu nueva contraseña"
"accountSettings.country";"Страна";"País"
"accountSettings.countryRequired";"Выберите страну";"Selecciona un país"
"accountSettings.currentPassword";"Текущий пароль";"Contraseña actual"
"accountSettings.currentPasswordPlaceholder";"•••••••••";"•••••••••"
"accountSettings.currentPasswordRequired";"Введите текущий пароль!";"Ingresa tu contraseña actual"
"accountSettings.email";"Email";"Correo electrónico"
"accountSettings.emailInvalid";"Неверный email";"Correo no válido"
"accountSettings.emailPlaceholder";"Email";"Correo electrónico"
"accountSettings.emailRequired";"Email обязателен";"El correo es obligatorio"
"accountSettings.emailVerification";"Проверка по Email";"Verificación por correo"
"accountSettings.emailVerificationDesc";"Уникальные коды отправляются на email для подтверждения входа.";"Códigos únicos enviados al correo para confirmar el inicio de sesión."
"accountSettings.enable";"Включить";"Activar"
"accountSettings.firstName";"Имя";"Nombre"
"accountSettings.firstNamePlaceholder";"Введите имя";"Nombre"
"accountSettings.firstNameRequired";"Имя обязательно";"El nombre es obligatorio"
"accountSettings.googleAuthenticator";"Google Authenticator";"Google Authenticator"
"accountSettings.googleAuthenticatorDesc";"Использование приложения Google Authenticator генерирует коды, привязанные ко времени, для безопасного входа.";"La app Google Authenticator genera códigos temporales para iniciar sesión con seguridad."
"accountSettings.lastName";"Фамилия";"Apellido"
"accountSettings.lastNamePlaceholder";"Введите фамилию";"Apellido"
"accountSettings.lastNameRequired";"Фамилия обязательна";"El apellido es obligatorio"
"accountSettings.navigation";"Навигация";"Navegación"
"accountSettings.newPassword";"Новый пароль";"Nueva contraseña"
"accountSettings.newPasswordPlaceholder";"•••••••••";"•••••••••"
"accountSettings.newPasswordRequired";"Введите новый пароль!";"Ingresa tu nueva contraseña"
"accountSettings.oktaVerify";"Okta Verify";"Okta Verify"
"accountSettings.oktaVerifyDesc";"Получайте push-уведомления от приложения Okta Verify на вашем телефоне для быстрого подтверждения входа.";"Recibe notificaciones push de Okta Verify en tu teléfono para aprobar el acceso rápidamente."
"accountSettings.password";"Пароль";"Contraseña"
"accountSettings.passwordDesc";"Помните, ваш пароль - это цифровой ключ к вашему аккаунту. Храните его в безопасности!";"Tu contraseña es la llave digital de tu cuenta. ¡Cuídala y manténla segura!"
"accountSettings.passwordNotMatch";"Пароли не совпадают";"Las contraseñas no coinciden"
"accountSettings.personalInfo";"Личная информация";"Información personal"
"accountSettings.phoneNumber";"Номер телефона";"Teléfono"
